city,cityLabel,population
http://www.wikidata.org/entity/Q1865,Kuala Lumpur,1982100
http://www.wikidata.org/entity/Q1867,Taipei,2603150
http://www.wikidata.org/entity/Q15867,Dravograd,3088
http://www.wikidata.org/entity/Q15867,Dravograd,3163
http://www.wikidata.org/entity/Q15868,Gornja Radgona,3086
http://www.wikidata.org/entity/Q15870,Grosuplje,7703
http://www.wikidata.org/entity/Q15871,Hrastnik,4962
http://www.wikidata.org/entity/Q15876,Ilirska Bistrica,4323
http://www.wikidata.org/entity/Q15877,Izola,11682
http://www.wikidata.org/entity/Q15883,Kamnik,13880
http://www.wikidata.org/entity/Q15885,Kostanjevica na Krki,689
http://www.wikidata.org/entity/Q15889,Lenart v Slovenskih Goricah,3285
http://www.wikidata.org/entity/Q15890,Lendava,2954
http://www.wikidata.org/entity/Q15896,Metlika,3229
http://www.wikidata.org/entity/Q15898,Mežica,3176
http://www.wikidata.org/entity/Q15899,Murska Sobota,11107
http://www.wikidata.org/entity/Q15901,Postojna,9605
http://www.wikidata.org/entity/Q15906,Ptuj,17959
http://www.wikidata.org/entity/Q15906,Ptuj,18004
http://www.wikidata.org/entity/Q15908,Radeče,1993
http://www.wikidata.org/entity/Q15911,Ravne na Koroškem,7363
http://www.wikidata.org/entity/Q15914,Ruše,4208
http://www.wikidata.org/entity/Q15916,Sežana,6037
http://www.wikidata.org/entity/Q15917,Slovenska Bistrica,8219
http://www.wikidata.org/entity/Q15918,Slovenj Gradec,7249
http://www.wikidata.org/entity/Q15926,Trebnje,3927
http://www.wikidata.org/entity/Q15928,Velenje,25594
http://www.wikidata.org/entity/Q15930,Zagorje ob Savi,6023
http://www.wikidata.org/entity/Q15984,Leer,35078
http://www.wikidata.org/entity/Q16010,Esch-sur-Alzette,36177
http://www.wikidata.org/entity/Q16012,Differdange,27869
http://www.wikidata.org/entity/Q16022,Barsinghausen,34327
http://www.wikidata.org/entity/Q16258,Maldonado,86782
http://www.wikidata.org/entity/Q16461,Nanaimo,90504
http://www.wikidata.org/entity/Q16520,Busan,3453198
http://www.wikidata.org/entity/Q16666,Nanjing,9314685
http://www.wikidata.org/entity/Q16978,Krymsk,57229
http://www.wikidata.org/entity/Q17856,Ballarat,98543
http://www.wikidata.org/entity/Q18021,Biella,44324
http://www.wikidata.org/entity/Q18125,Manchester,547627
http://www.wikidata.org/entity/Q18709,Patos,15397
http://www.wikidata.org/entity/Q18730,Cërrik,6695
http://www.wikidata.org/entity/Q18737,Rrëshen,8803
http://www.wikidata.org/entity/Q18746,Roskovec,6657
http://www.wikidata.org/entity/Q18751,Poliçan,4318
http://www.wikidata.org/entity/Q18768,Laç,17086
http://www.wikidata.org/entity/Q18772,Librazhd,6937
http://www.wikidata.org/entity/Q18774,Kuçovë,12654
http://www.wikidata.org/entity/Q18777,Gramsh,8440
http://www.wikidata.org/entity/Q18780,Likasi,422535
http://www.wikidata.org/entity/Q18791,Shijak,7568
http://www.wikidata.org/entity/Q18808,Pyongyang,2863000
http://www.wikidata.org/entity/Q19258,Prrenjas,5847
http://www.wikidata.org/entity/Q19259,Rubik,4454
http://www.wikidata.org/entity/Q19300,Molfetta,59470
http://www.wikidata.org/entity/Q19344,San Pedro de la Paz,131808
http://www.wikidata.org/entity/Q19583,Gori,44524
http://www.wikidata.org/entity/Q19689,Tirana,418495
http://www.wikidata.org/entity/Q20835,Hørsholm,47489
http://www.wikidata.org/entity/Q21166,Skövde,39580
http://www.wikidata.org/entity/Q21176,Viborg,29470
http://www.wikidata.org/entity/Q21176,Viborg,30210
http://www.wikidata.org/entity/Q21176,Viborg,33134
http://www.wikidata.org/entity/Q21176,Viborg,35226
http://www.wikidata.org/entity/Q21176,Viborg,37225
http://www.wikidata.org/entity/Q21176,Viborg,37309
http://www.wikidata.org/entity/Q21176,Viborg,39856
http://www.wikidata.org/entity/Q21176,Viborg,40371
http://www.wikidata.org/entity/Q21176,Viborg,41079
http://www.wikidata.org/entity/Q21178,Næstved,41857
http://www.wikidata.org/entity/Q21179,Sønderborg,27595
http://www.wikidata.org/entity/Q21180,Silkeborg,44333
http://www.wikidata.org/entity/Q21181,Fredericia,39922
http://www.wikidata.org/entity/Q21197,Chișinău,639000
http://www.wikidata.org/entity/Q22889,Bath,94782
http://www.wikidata.org/entity/Q22905,Bradford,293277
http://www.wikidata.org/entity/Q22953,Annweiler am Trifels,7099
